v,e,w,j,p,q,s,t,op_count
18,34,1,0,1,1,1,0,2294
23,44,1,0,1,1,1,1,2746
19,36,1,0,1,1,1,2,1483
19,36,1,0,1,1,1,3,1996
19,36,1,0,1,1,1,4,1495
19,36,1,0,1,1,1,5,1720
23,44,1,0,1,1,1,6,3326
19,36,1,0,1,1,1,7,2310
19,36,1,0,1,1,1,8,2231
24,46,1,0,1,1,1,9,1599
19,36,1,0,1,1,1,10,1434
27,52,1,0,1,1,1,11,2749
24,46,1,0,1,1,1,12,2957
21,40,1,0,1,1,1,13,1899
22,42,1,0,1,1,1,14,2174
21,40,1,0,1,1,1,15,2086
22,42,1,0,1,1,1,16,2581
24,46,1,0,1,1,1,17,2492
26,50,1,0,1,1,1,18,1631
23,44,1,0,1,1,1,19,3142
19,36,1,0,1,1,1,20,2374
25,48,1,0,1,1,1,21,1785
20,38,1,0,1,1,1,22,1682
23,44,1,0,1,1,1,23,1559
27,52,1,0,1,1,1,24,1953
21,40,1,0,1,1,1,25,1386
21,40,1,0,1,1,1,26,2714
23,44,1,0,1,1,1,27,1583
25,48,1,0,1,1,1,28,2508
25,48,1,0,1,1,1,29,2092
22,42,1,0,1,1,1,30,2358
28,54,1,0,1,1,1,31,3645
21,40,1,0,1,1,1,32,2078
21,40,1,0,1,1,1,33,2028
13,24,1,0,1,1,1,34,1532
20,38,1,0,1,1,1,35,1841
25,48,1,0,1,1,1,36,1762
20,38,1,0,1,1,1,37,2390
28,54,1,0,1,1,1,38,1969
31,60,1,0,1,1,1,39,2580
23,44,1,0,1,1,1,40,1753
24,46,1,0,1,1,1,41,3267
23,44,1,0,1,1,1,42,2746
25,48,1,0,1,1,1,43,2749
23,44,1,0,1,1,1,44,2906
22,42,1,0,1,1,1,45,1426
21,40,1,0,1,1,1,46,1974
25,48,1,0,1,1,1,47,2371
19,36,1,0,1,1,1,48,1519
28,54,1,0,1,1,1,49,2518
26,50,1,0,1,1,1,50,2359
19,36,1,0,1,1,1,51,2058
23,44,1,0,1,1,1,52,2525
21,40,1,0,1,1,1,53,1721
25,48,1,0,1,1,1,54,2917
22,42,1,0,1,1,1,55,2510
19,36,1,0,1,1,1,56,2069
20,38,1,0,1,1,1,57,2291
25,48,1,0,1,1,1,58,1615
22,42,1,0,1,1,1,59,2568
23,44,1,0,1,1,1,60,1969
17,32,1,0,1,1,1,61,2599
27,52,1,0,1,1,1,62,2084
23,44,1,0,1,1,1,63,1418
16,30,1,0,1,1,1,64,1688
22,42,1,0,1,1,1,65,2521
15,28,1,0,1,1,1,66,2211
27,52,1,0,1,1,1,67,2615
22,42,1,0,1,1,1,68,2203
26,50,1,0,1,1,1,69,2486
20,38,1,0,1,1,1,70,1705
22,42,1,0,1,1,1,71,2044
21,40,1,0,1,1,1,72,2828
18,34,1,0,1,1,1,73,2509
22,42,1,0,1,1,1,74,1873
17,32,1,0,1,1,1,75,2150
23,44,1,0,1,1,1,76,2295
17,32,1,0,1,1,1,77,1487
23,44,1,0,1,1,1,78,2344
26,50,1,0,1,1,1,79,2977
23,44,1,0,1,1,1,80,2081
19,36,1,0,1,1,1,81,1825
21,40,1,0,1,1,1,82,2557
27,52,1,0,1,1,1,83,1482
29,56,1,0,1,1,1,84,3122
26,50,1,0,1,1,1,85,2666
20,38,1,0,1,1,1,86,1817
21,40,1,0,1,1,1,87,2405
27,52,1,0,1,1,1,88,2307
24,46,1,0,1,1,1,89,2211
20,38,1,0,1,1,1,90,1841
15,28,1,0,1,1,1,91,1764
25,48,1,0,1,1,1,92,2095
19,36,1,0,1,1,1,93,2280
23,44,1,0,1,1,1,94,3389
17,32,1,0,1,1,1,95,1910
21,40,1,0,1,1,1,96,1386
23,44,1,0,1,1,1,97,2036
23,44,1,0,1,1,1,98,2344
19,36,1,0,1,1,1,99,2131
47,90,2,2,1,1,1,0,4702
54,104,2,2,1,1,1,1,5473
53,102,2,2,1,1,1,2,4479
52,100,2,2,1,1,1,3,4564
48,92,2,2,1,1,1,4,5157
40,76,2,2,1,1,1,5,5589
48,92,2,2,1,1,1,6,5065
52,100,2,2,1,1,1,7,4652
45,86,2,2,1,1,1,8,4932
43,82,2,2,1,1,1,9,5141
49,94,2,2,1,1,1,10,4324
42,80,2,2,1,1,1,11,4674
48,92,2,2,1,1,1,12,3382
45,86,2,2,1,1,1,13,4336
58,112,2,2,1,1,1,14,4250
46,88,2,2,1,1,1,15,5871
41,78,2,2,1,1,1,16,4240
54,104,2,2,1,1,1,17,7001
43,82,2,2,1,1,1,18,4970
35,66,2,2,1,1,1,19,4266
37,70,2,2,1,1,1,20,3418
47,90,2,2,1,1,1,21,4938
50,96,2,2,1,1,1,22,4800
46,88,2,2,1,1,1,23,5642
46,88,2,2,1,1,1,24,5001
46,88,2,2,1,1,1,25,6830
49,94,2,2,1,1,1,26,5456
48,92,2,2,1,1,1,27,7025
49,94,2,2,1,1,1,28,4361
44,84,2,2,1,1,1,29,4388
64,124,2,2,1,1,1,30,7738
53,102,2,2,1,1,1,31,6199
46,88,2,2,1,1,1,32,4375
53,102,2,2,1,1,1,33,3576
47,90,2,2,1,1,1,34,5874
43,82,2,2,1,1,1,35,4552
42,80,2,2,1,1,1,36,4222
48,92,2,2,1,1,1,37,4763
42,80,2,2,1,1,1,38,4366
49,94,2,2,1,1,1,39,4995
43,82,2,2,1,1,1,40,3907
56,108,2,2,1,1,1,41,3643
47,90,2,2,1,1,1,42,4245
39,74,2,2,1,1,1,43,4520
48,92,2,2,1,1,1,44,4979
41,78,2,2,1,1,1,45,4064
57,110,2,2,1,1,1,46,5555
44,84,2,2,1,1,1,47,4637
47,90,2,2,1,1,1,48,4471
52,100,2,2,1,1,1,49,6568
40,76,2,2,1,1,1,50,5269
40,76,2,2,1,1,1,51,3295
41,78,2,2,1,1,1,52,5448
53,102,2,2,1,1,1,53,5812
53,102,2,2,1,1,1,54,6028
39,74,2,2,1,1,1,55,5209
51,98,2,2,1,1,1,56,4876
50,96,2,2,1,1,1,57,3891
52,100,2,2,1,1,1,58,4717
40,76,2,2,1,1,1,59,4181
56,108,2,2,1,1,1,60,5805
41,78,2,2,1,1,1,61,5036
52,100,2,2,1,1,1,62,5629
49,94,2,2,1,1,1,63,4624
43,82,2,2,1,1,1,64,3740
50,96,2,2,1,1,1,65,5890
43,82,2,2,1,1,1,66,5001
44,84,2,2,1,1,1,67,4791
50,96,2,2,1,1,1,68,5704
44,84,2,2,1,1,1,69,4998
50,96,2,2,1,1,1,70,5400
46,88,2,2,1,1,1,71,3500
44,84,2,2,1,1,1,72,5045
45,86,2,2,1,1,1,73,4458
44,84,2,2,1,1,1,74,5197
51,98,2,2,1,1,1,75,6093
45,86,2,2,1,1,1,76,4408
51,98,2,2,1,1,1,77,4946
45,86,2,2,1,1,1,78,3740
46,88,2,2,1,1,1,79,4360
52,100,2,2,1,1,1,80,5063
51,98,2,2,1,1,1,81,4690
44,84,2,2,1,1,1,82,5172
53,102,2,2,1,1,1,83,5885
45,86,2,2,1,1,1,84,3579
41,78,2,2,1,1,1,85,4264
40,76,2,2,1,1,1,86,3989
50,96,2,2,1,1,1,87,3839
48,92,2,2,1,1,1,88,5369
44,84,2,2,1,1,1,89,4402
47,90,2,2,1,1,1,90,4318
56,108,2,2,1,1,1,91,6251
47,90,2,2,1,1,1,92,5332
48,92,2,2,1,1,1,93,4448
52,100,2,2,1,1,1,94,7257
48,92,2,2,1,1,1,95,6653
46,88,2,2,1,1,1,96,5467
50,96,2,2,1,1,1,97,4801
46,88,2,2,1,1,1,98,4639
50,96,2,2,1,1,1,99,4356
46,88,2,2,2,1,1,0,8592
47,90,2,2,2,1,1,1,8198
54,104,2,2,2,1,1,2,9335
61,118,2,2,2,1,1,3,7862
39,74,2,2,2,1,1,4,6496
50,96,2,2,2,1,1,5,6999
37,70,2,2,2,1,1,6,5808
50,96,2,2,2,1,1,7,7888
41,78,2,2,2,1,1,8,6917
53,102,2,2,2,1,1,9,9132
47,90,2,2,2,1,1,10,7984
46,88,2,2,2,1,1,11,6114
53,102,2,2,2,1,1,12,6780
46,88,2,2,2,1,1,13,7371
44,84,2,2,2,1,1,14,7839
46,88,2,2,2,1,1,15,9095
46,88,2,2,2,1,1,16,7372
41,78,2,2,2,1,1,17,7495
49,94,2,2,2,1,1,18,7687
48,92,2,2,2,1,1,19,8190
40,76,2,2,2,1,1,20,6597
44,84,2,2,2,1,1,21,5201
52,100,2,2,2,1,1,22,7464
54,104,2,2,2,1,1,23,8612
49,94,2,2,2,1,1,24,6703
46,88,2,2,2,1,1,25,6800
43,82,2,2,2,1,1,26,6935
51,98,2,2,2,1,1,27,8678
36,68,2,2,2,1,1,28,6402
42,80,2,2,2,1,1,29,6481
45,86,2,2,2,1,1,30,5841
47,90,2,2,2,1,1,31,7427
46,88,2,2,2,1,1,32,6094
43,82,2,2,2,1,1,33,6720
47,90,2,2,2,1,1,34,8905
52,100,2,2,2,1,1,35,7860
49,94,2,2,2,1,1,36,6359
47,90,2,2,2,1,1,37,6416
48,92,2,2,2,1,1,38,6346
53,102,2,2,2,1,1,39,7888
46,88,2,2,2,1,1,40,5647
57,110,2,2,2,1,1,41,7973
46,88,2,2,2,1,1,42,10068
55,106,2,2,2,1,1,43,8551
48,92,2,2,2,1,1,44,7410
50,96,2,2,2,1,1,45,6628
47,90,2,2,2,1,1,46,6737
58,112,2,2,2,1,1,47,7963
47,90,2,2,2,1,1,48,6381
49,94,2,2,2,1,1,49,8812
44,84,2,2,2,1,1,50,6862
41,78,2,2,2,1,1,51,7676
41,78,2,2,2,1,1,52,5913
49,94,2,2,2,1,1,53,7525
45,86,2,2,2,1,1,54,6802
41,78,2,2,2,1,1,55,6736
48,92,2,2,2,1,1,56,6345
43,82,2,2,2,1,1,57,6479
52,100,2,2,2,1,1,58,5802
43,82,2,2,2,1,1,59,7106
46,88,2,2,2,1,1,60,8451
46,88,2,2,2,1,1,61,7716
45,86,2,2,2,1,1,62,5399
49,94,2,2,2,1,1,63,7730
53,102,2,2,2,1,1,64,7813
49,94,2,2,2,1,1,65,7889
48,92,2,2,2,1,1,66,6320
47,90,2,2,2,1,1,67,6281
48,92,2,2,2,1,1,68,8414
55,106,2,2,2,1,1,69,7765
47,90,2,2,2,1,1,70,6958
44,84,2,2,2,1,1,71,6842
51,98,2,2,2,1,1,72,8355
43,82,2,2,2,1,1,73,6120
41,78,2,2,2,1,1,74,8422
52,100,2,2,2,1,1,75,7540
43,82,2,2,2,1,1,76,7503
53,102,2,2,2,1,1,77,8792
41,78,2,2,2,1,1,78,6005
42,80,2,2,2,1,1,79,6965
49,94,2,2,2,1,1,80,6178
52,100,2,2,2,1,1,81,8120
50,96,2,2,2,1,1,82,8519
50,96,2,2,2,1,1,83,5992
45,86,2,2,2,1,1,84,7855
53,102,2,2,2,1,1,85,7622
49,94,2,2,2,1,1,86,7992
51,98,2,2,2,1,1,87,7272
47,90,2,2,2,1,1,88,8323
50,96,2,2,2,1,1,89,8044
47,90,2,2,2,1,1,90,8201
54,104,2,2,2,1,1,91,10663
40,76,2,2,2,1,1,92,6929
50,96,2,2,2,1,1,93,8501
40,76,2,2,2,1,1,94,7518
40,76,2,2,2,1,1,95,7463
46,88,2,2,2,1,1,96,7235
41,78,2,2,2,1,1,97,6207
46,88,2,2,2,1,1,98,7454
41,78,2,2,2,1,1,99,5760
47,90,2,2,2,1,2,0,7757
49,94,2,2,2,1,2,1,6706
48,92,2,2,2,1,2,2,8284
47,90,2,2,2,1,2,3,7737
48,92,2,2,2,1,2,4,7853
51,98,2,2,2,1,2,5,7502
48,92,2,2,2,1,2,6,7135
48,92,2,2,2,1,2,7,8689
46,88,2,2,2,1,2,8,7280
41,78,2,2,2,1,2,9,6393
