vertex count,edge count,wing count,junction count,supply count,exit count,supply cap,budget used,budget,budget percent,value collected,value total,seed,op count
200,396,2,2,50,2,5,2651,3091,35,92,155,0,307008
200,396,2,2,50,2,5,4391,5298,60,119,155,0,404527
300,594,3,4,50,2,5,6006,7382,35,81,171,1,552888
300,594,3,4,50,2,5,9984,12654,60,114,171,1,755467
400,792,4,6,50,2,5,6170,7240,35,115,163,2,554813
400,792,4,6,50,2,5,10447,12412,60,131,163,2,730979
200,396,2,2,50,2,5,2531,2924,35,80,142,3,304955
200,396,2,2,50,2,5,4164,5012,60,102,142,3,400837
300,594,3,4,50,2,5,2725,3241,35,88,136,4,307141
300,594,3,4,50,2,5,4817,5555,60,109,136,4,488774
400,792,4,6,50,2,5,6623,8049,35,80,143,5,558079
400,792,4,6,50,2,5,11423,13798,60,103,143,5,758860
200,396,2,2,50,2,5,2317,2774,35,83,149,6,293420
200,396,2,2,50,2,5,3954,4756,60,114,149,6,385712
300,594,3,4,50,2,5,2048,2375,35,85,141,7,290986
300,594,3,4,50,2,5,3433,4072,60,113,141,7,362896
400,792,4,6,50,2,5,8792,9866,35,101,144,8,769384
400,792,4,6,50,2,5,14055,16913,60,121,144,8,1011272
200,396,2,2,50,2,5,2412,2831,35,91,160,9,302934
200,396,2,2,50,2,5,4185,4853,60,119,160,9,410778
300,594,3,4,50,2,5,4709,5454,35,98,145,10,431663
300,594,3,4,50,2,5,7772,9350,60,118,145,10,516924
400,792,4,6,50,2,5,7079,8423,35,82,151,11,533875
400,792,4,6,50,2,5,12327,14440,60,112,151,11,768287
200,396,2,2,50,2,5,3200,3675,35,91,147,12,344803
200,396,2,2,50,2,5,5458,6300,60,113,147,12,482853
300,594,3,4,50,2,5,3096,3657,35,83,154,13,294284
300,594,3,4,50,2,5,5390,6269,60,111,154,13,384544
400,792,4,6,50,2,5,5311,5909,35,98,138,14,497447
400,792,4,6,50,2,5,8848,10130,60,113,138,14,663276
200,396,2,2,50,2,5,2410,2673,35,88,158,15,290762
200,396,2,2,50,2,5,4048,4582,60,115,158,15,380392
300,594,3,4,50,2,5,4720,5787,35,85,138,16,473853
300,594,3,4,50,2,5,8201,9921,60,107,138,16,686421
400,792,4,6,50,2,5,6287,7735,35,81,146,17,539634
400,792,4,6,50,2,5,10310,13259,60,105,146,17,730201
200,396,2,2,50,2,5,2273,2632,35,90,147,18,284002
200,396,2,2,50,2,5,3733,4511,60,114,147,18,358255
300,594,3,4,50,2,5,4519,5231,35,98,155,19,417457
300,594,3,4,50,2,5,7572,8968,60,121,155,19,535395
400,792,4,6,50,2,5,4760,5987,35,84,149,20,560157
400,792,4,6,50,2,5,8413,10264,60,109,149,20,746643
200,396,2,2,50,2,5,3019,3531,35,89,149,21,341159
200,396,2,2,50,2,5,5090,6053,60,116,149,21,438932
300,594,3,4,50,2,5,4825,6123,35,73,142,22,427032
300,594,3,4,50,2,5,8561,10496,60,99,142,22,599069
400,792,4,6,50,2,5,6551,8054,35,93,158,23,510414
400,792,4,6,50,2,5,10884,13807,60,123,158,23,695308
200,396,2,2,50,2,5,2761,3234,35,91,155,24,310238
200,396,2,2,50,2,5,4728,5545,60,118,155,24,446754
300,594,3,4,50,2,5,7626,9068,35,83,150,25,583711
300,594,3,4,50,2,5,12963,15545,60,109,150,25,816062
400,792,4,6,50,2,5,5954,6639,35,94,141,26,578536
400,792,4,6,50,2,5,9778,11381,60,114,141,26,755316
200,396,2,2,50,2,5,2553,2989,35,80,150,27,307539
200,396,2,2,50,2,5,4380,5123,60,109,150,27,397107
300,594,3,4,50,2,5,3484,4110,35,97,163,28,412045
300,594,3,4,50,2,5,6116,7045,60,122,163,28,485496
400,792,4,6,50,2,5,5377,6326,35,80,134,29,442566
400,792,4,6,50,2,5,9135,10844,60,102,134,29,608112
200,396,2,2,50,2,5,2358,2780,35,78,141,30,295589
200,396,2,2,50,2,5,4132,4765,60,105,141,30,398481
300,594,3,4,50,2,5,3852,4626,35,94,159,31,431166
300,594,3,4,50,2,5,6409,7930,60,121,159,31,556407
400,792,4,6,50,2,5,6676,8157,35,90,142,32,489056
400,792,4,6,50,2,5,11503,13984,60,112,142,32,701929
200,396,2,2,50,2,5,2673,3178,35,77,167,33,318753
200,396,2,2,50,2,5,4665,5449,60,110,167,33,463401
300,594,3,4,50,2,5,2953,3611,35,88,158,34,371955
300,594,3,4,50,2,5,5127,6190,60,118,158,34,519571
400,792,4,6,50,2,5,7490,9246,35,89,147,35,630615
400,792,4,6,50,2,5,12745,15850,60,112,147,35,851716
200,396,2,2,50,2,5,2907,3360,35,88,149,36,328854
200,396,2,2,50,2,5,4990,5760,60,115,149,36,454402
300,594,3,4,50,2,5,4454,5242,35,97,151,37,485197
300,594,3,4,50,2,5,7301,8987,60,118,151,37,663817
400,792,4,6,50,2,5,4715,5412,35,83,147,38,474244
400,792,4,6,50,2,5,7944,9278,60,108,147,38,623679
200,396,2,2,50,2,5,3106,3548,35,93,155,39,380521
200,396,2,2,50,2,5,5001,6082,60,118,155,39,452361
300,594,3,4,50,2,5,3001,3399,35,100,167,40,405684
300,594,3,4,50,2,5,5133,5827,60,131,167,40,548901
400,792,4,6,50,2,5,5612,6830,35,86,143,41,459030
400,792,4,6,50,2,5,9658,11709,60,111,143,41,614926
200,396,2,2,50,2,5,2549,2975,35,81,161,42,335354
200,396,2,2,50,2,5,4300,5101,60,111,161,42,447361
300,594,3,4,50,2,5,2179,2644,35,81,144,43,284428
300,594,3,4,50,2,5,3870,4533,60,107,144,43,366473
400,792,4,6,50,2,5,7535,8988,35,89,154,44,602342
400,792,4,6,50,2,5,13035,15407,60,115,154,44,839614
200,396,2,2,50,2,5,2379,2885,35,98,173,45,324922
200,396,2,2,50,2,5,3977,4946,60,126,173,45,406808
300,594,3,4,50,2,5,3323,3704,35,79,130,46,346484
300,594,3,4,50,2,5,5394,6350,60,100,130,46,441429
400,792,4,6,50,2,5,4580,5408,35,99,155,47,456894
400,792,4,6,50,2,5,7586,9271,60,120,155,47,622540
200,396,2,2,50,2,5,2418,2942,35,80,148,48,300648
200,396,2,2,50,2,5,4240,5044,60,105,148,48,382383
300,594,3,4,50,2,5,3625,4371,35,81,138,49,403497
300,594,3,4,50,2,5,6121,7493,60,105,138,49,561876
400,792,4,6,50,2,5,6157,7240,35,96,154,50,546744
400,792,4,6,50,2,5,10585,12411,60,120,154,50,749496
200,396,2,2,50,2,5,2311,2857,35,95,144,51,289709
200,396,2,2,50,2,5,4144,4898,60,116,144,51,377563
300,594,3,4,50,2,5,4549,5380,35,74,152,52,381132
300,594,3,4,50,2,5,7837,9223,60,104,152,52,497101
400,792,4,6,50,2,5,7282,8447,35,90,151,53,469561
400,792,4,6,50,2,5,12326,14480,60,116,151,53,643784
200,396,2,2,50,2,5,2382,2748,35,79,149,54,297575
200,396,2,2,50,2,5,3990,4711,60,105,149,54,384357
300,594,3,4,50,2,5,2781,3276,35,92,165,55,374288
300,594,3,4,50,2,5,4647,5616,60,122,165,55,500031
400,792,4,6,50,2,5,6817,8126,35,79,139,56,600902
400,792,4,6,50,2,5,12204,13930,60,98,139,56,983573
200,396,2,2,50,2,5,2396,2844,35,80,151,57,281442
200,396,2,2,50,2,5,4093,4875,60,114,151,57,393246
300,594,3,4,50,2,5,4353,5197,35,90,152,58,449865
300,594,3,4,50,2,5,7316,8909,60,112,152,58,583465
400,792,4,6,50,2,5,9153,10642,35,74,151,59,653537
400,792,4,6,50,2,5,15773,18244,60,105,151,59,992844
200,396,2,2,50,2,5,1709,1914,35,87,156,60,254867
200,396,2,2,50,2,5,2822,3281,60,120,156,60,323393
300,594,3,4,50,2,5,4474,5147,35,79,139,61,426797
