v,e,w,j,p,q,budget_used,budget,value_collected,value_total,t,op_count
200,396,2,2,50,2,5527,6689,122,162,0,3491276
300,594,3,4,50,2,10043,12130,111,168,1,5239433
400,792,4,6,50,2,12739,14582,129,155,2,7766285
200,396,2,2,50,2,4373,4853,102,141,3,2244314
300,594,3,4,50,2,8914,10352,110,139,4,5382063
400,792,4,6,50,2,14246,16563,108,149,5,7502919
200,396,2,2,50,2,4473,5193,109,139,6,2397791
300,594,3,4,50,2,4548,5703,108,141,7,2571212
400,792,4,6,50,2,14468,16659,117,145,8,8177797
200,396,2,2,50,2,4060,4697,123,165,9,2190480
300,594,3,4,50,2,10699,13272,110,154,10,5893738
400,792,4,6,50,2,12576,14276,104,149,11,6498051
200,396,2,2,50,2,4488,5447,134,168,12,2842061
300,594,3,4,50,2,9614,11456,122,155,13,5838585
400,792,4,6,50,2,11135,12895,101,138,14,5698734
200,396,2,2,50,2,3619,4016,114,156,15,2020882
300,594,3,4,50,2,9835,11695,104,144,16,5020263
400,792,4,6,50,2,7114,8345,113,148,17,4050336
200,396,2,2,50,2,3933,4461,115,162,18,2067436
300,594,3,4,50,2,11106,13146,119,166,19,5611803
400,792,4,6,50,2,9218,10630,113,135,20,5189938
200,396,2,2,50,2,4756,5558,119,158,21,2882419
300,594,3,4,50,2,4094,4895,108,143,22,2504226
400,792,4,6,50,2,11279,13178,95,123,23,5710644
200,396,2,2,50,2,5391,6065,112,157,24,2619697
300,594,3,4,50,2,9307,10969,105,144,25,5683195
400,792,4,6,50,2,9773,11210,113,158,26,4874591
200,396,2,2,50,2,3979,4480,111,148,27,2306128
300,594,3,4,50,2,9273,10024,105,146,28,4480926
400,792,4,6,50,2,7729,8773,115,156,29,4179267
200,396,2,2,50,2,4268,4957,133,160,30,2625864
300,594,3,4,50,2,9538,11265,120,164,31,5146696
400,792,4,6,50,2,6886,7883,125,159,32,3931594
200,396,2,2,50,2,4443,5193,127,170,33,2563992
300,594,3,4,50,2,9208,11312,115,159,34,5105918
400,792,4,6,50,2,8269,9449,114,145,35,4951291
200,396,2,2,50,2,4413,4885,113,145,36,2312680
300,594,3,4,50,2,8280,9721,114,144,37,5124387
400,792,4,6,50,2,12166,14253,110,149,38,6301811
200,396,2,2,50,2,4567,5609,119,157,39,2644766
300,594,3,4,50,2,9712,11220,119,163,40,5274063
400,792,4,6,50,2,9691,10869,117,143,41,5580709
200,396,2,2,50,2,4191,4865,115,166,42,2183443
300,594,3,4,50,2,6611,7436,106,139,43,4051478
400,792,4,6,50,2,15010,17638,115,152,44,8336474
200,396,2,2,50,2,4644,5746,117,165,45,3032469
300,594,3,4,50,2,7513,8810,117,168,46,3826826
400,792,4,6,50,2,7868,9531,114,150,47,4857960
200,396,2,2,50,2,4638,5243,113,148,48,2409381
300,594,3,4,50,2,5194,6175,104,137,49,3226082
400,792,4,6,50,2,10209,11753,120,158,50,5820885
200,396,2,2,50,2,5146,6214,114,146,51,3488070
300,594,3,4,50,2,8304,9690,106,151,52,3976182
400,792,4,6,50,2,12131,13363,116,149,53,6882769
200,396,2,2,50,2,4186,4734,102,135,54,2316236
300,594,3,4,50,2,6864,7805,117,163,55,3525576
400,792,4,6,50,2,12088,14369,109,155,56,6095654
200,396,2,2,50,2,4695,5303,124,152,57,2887261
300,594,3,4,50,2,8606,10170,116,156,58,5546414
400,792,4,6,50,2,13151,14836,111,151,59,6214346
200,396,2,2,50,2,3993,4472,111,140,60,2489186
300,594,3,4,50,2,9077,11038,110,156,61,5038938
400,792,4,6,50,2,15195,16710,104,144,62,6793836
200,396,2,2,50,2,5066,5726,131,166,63,3286610
300,594,3,4,50,2,7424,9327,119,150,64,4736199
400,792,4,6,50,2,7905,9166,124,156,65,5194632
200,396,2,2,50,2,4756,5494,113,149,66,2758900
300,594,3,4,50,2,6921,8320,113,147,67,4454824
400,792,4,6,50,2,15278,17104,126,167,68,8226212
200,396,2,2,50,2,4661,5263,107,149,69,2587380
300,594,3,4,50,2,5354,6021,118,152,70,2885687
400,792,4,6,50,2,11398,13661,121,162,71,6770113
200,396,2,2,50,2,3927,4466,116,155,72,2193910
300,594,3,4,50,2,4108,4481,115,154,73,2166433
400,792,4,6,50,2,11551,13235,129,175,74,7299624
200,396,2,2,50,2,2942,3524,121,178,75,1565358
300,594,3,4,50,2,6038,6644,103,135,76,3157002
400,792,4,6,50,2,15143,17591,110,167,77,7583363
200,396,2,2,50,2,4291,5014,126,160,78,2740331
300,594,3,4,50,2,13004,14673,119,169,79,6233983
400,792,4,6,50,2,7831,9413,108,154,80,4692847
200,396,2,2,50,2,5400,6181,114,150,81,3143750
300,594,3,4,50,2,10117,11596,104,143,82,4713246
400,792,4,6,50,2,5840,6626,118,149,83,3156041
200,396,2,2,50,2,5138,5785,125,156,84,3131690
300,594,3,4,50,2,10425,12493,119,157,85,5739745
400,792,4,6,50,2,11081,12439,112,156,86,5624439
